id,title,link,description,availability,stock,price,sale_price,shipping_price,product_type,brand,image_link,additional_image_link,size,item_group_id,currency,vat_rate,product_number
29331995,"Bible Vulgate",https://www.editions-sauvetage.fr/product/8787941/bible-vulgate,"   La Sainte Bible selon la Vulgate (version latine de saint Jérôme), traduite en français, avec des notes par l'Abbé Jean-Baptiste Glaire (+1879). Avec introductions, notes complémentaires et appendices par F. Vigouroux, prêtre de Saint Sulpice. Ainsi que 40 gravures de Gustave Doré.
   Cette Bible est la dernière grande édition française et catholique de la Vulgate, la seule approuvée par le Saint-Siège, après examen fait à Rome par la Sacrée Congrégation de l'Index et publiée sous le patronage de 55 évêques francophones.
   Pour cette réédition en un seul volume, le texte à été entièrement recomposé en caractères très lisibles. Devant la multiplication des Bibles tendancieuses, cette réédition est une oeuvre de salut public !
   Une magnifique réalisation !","in stock",,69.90,,8.50,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/item31568-3.png,,,8787941,EUR,,
29331997,"Bible Crampon",https://www.editions-sauvetage.fr/product/8787943/bible-crampon," Soulignons l'intérêt de cet ouvrage remarquable qui permet de mettre à disposition des catholiques une traduction sûre des variantes que font apparaître les ""textes originaux"". Sans prétendre être supérieure à une traduction faite strictement sur la Vulgate latine -Toujours disponible-, puisque les véritables textes originaux hébreux n'existent plus, et que ceux disponibles, révisés entre le VI° et le X° siècle, sont postérieurs à la la Vulgate elle même, elle permet néanmoins de mieux cerner le Texte Sacré et éclaire certains passages obscurs de la Vulgate.
   En ce sens, cette Bible est en tous points conforme aux directives données par le pape Pie XII dans son encyclique ""Divino Afflante Spiritu"" du 30 septembre 1943 (extraits reproduits dans les premières pages de cette réédition).
   Daniel Raffard de Brienne l'écrit avec justesse dans sa préface : ""(le chanoine Crampon) nous donne là une traduction, sinon parfaite, au moins très sûre."" Et de fait, cette traduction du chanoine Crampon fut et demeure toujours une réussite. A la fois précise et claire, elle témoigne chez l'auteur d'une connaissance approfondie des langues bibliques et aussi d'une belle culture littéraire. Grâce à elle, quantité de fidèles et de clercs, pendant un demi-siècle, eurent un contact plus intime et plus personnel avec la parole de Dieu, transcrite par les auteurs inspirés.","in stock",,53.00,,8.50,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/item31197-3.png,,,8787943,EUR,,
29332000,"Bible d'une grand-mère",https://www.editions-sauvetage.fr/product/8787946/bible-d-une-grand-mere,"Le talent de la comtesse de Ségur pour raconter aux enfants, universellement connu et si admiré, ne s’est jamais exercé avec plus de succès que dans ce récit. C’est simple, clair, pieux et approprié à l’esprit d’un jeune auditoire.
   Le premier rayonnement intellectuel du baptême consiste dans la connaissance de ce Jésus auquel l’âme est vouée par l’acte de la régénération. Ainsi, après la grâce du sacrement, la plus désirable est celle de l’initiation. Ce beau livre aidera la famille chrétienne à remplir auprès des petits baptisés « l’œuvre d’évangéliste, » et il contribuera puissamment à faire jaillir de leurs cœurs et de leurs lèvres cet acte précoce de foi qui doit accompagner le premier éveil de la raison.
   Destiné aux enfants de huit à douze ans, et sous une forme familière qui saisit plus vivement leur jeune attention, ce livre leur fera connaître et aimer notre Seigneur Jésus-Christ. Ce récit attache, instruit, touche. La comtesse de Ségur parle avec le cœur d’une grand’mère et va aux cœurs des enfants ; on sent à chaque page qu’elle les connaît, qu’elle les aime, qu’elle leur veut du bien.
   Souvent, il faut en convenir, des parents bien intentionnés ignorent la marche à suivre pour former des chrétiens au sein du foyer domestique et se voient condamnés à confier à d’autres ce soin dont ils eussent dû tout d’abord se charger ; car l’école ne doit être que le prolongement de la vie de famille.
   La Bible d’une Grand’mère est comme un abrégé de l’histoire du monde et un cours de morale montrant la réalité à côté des figures et l’accomplissement à la suite des prophéties. Ce beau livre cherche aussi à parler aux yeux de l’enfant par ces gravures ou images qui représenteront les faits dont le souvenir ne s’effacera jamais de sa mémoire.
   En ces temps de retour à l’ignorance religieuse, les parents ou grands-parents profiteront aussi grandement de lire aux enfants ces magnifiques récits, qui leurs remémoreront leur Histoire Sainte complète, puisqu’ici se trouvent rassemblés, le Nouveau et l’Ancien Testament.","in stock",,29.90,,8.50,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/item31509-2.jpeg,,,8787946,EUR,,
29332064,"Nouveau Testament",https://www.editions-sauvetage.fr/product/8787960/nouveau-testament,"L’Abbé Aug. CRAMPON
LE NOUVEAU TESTAMENT DE NOTRE-SEIGNEUR JESUS-CHRIST TRADUIT SUR LE TEXTE ORIGINAL
AVEC INTRODUCTION, NOTES, DIVISIONS LOGIQUES ET SOMMAIRES.
Édition révisée par des Pères de la Cie de Jésus
avec la collaboration de Professeurs de S. Sulpice","in stock",,18.00,,6.50,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/i-moyenne-23131-le-nouveau-testament-de-notre-seigneur-jesus-christnet-2.jpg,,,8787960,EUR,,
29332096,"Missel quotidien (Joly) — noir",https://www.editions-sauvetage.fr/product/8787972/missel-quotidien-joly,"Missel traditionnel latin conforme aux rubriques du missel de 1962 - Textes latin et français en vis-à-vis - Ordinaire de la messe - Année liturgique complète (Temporal et Sanctoral) - Messes et oraisons votives, messes des Quatre-temps - Rites des sacrements - Prières et bénédictions diverses - Notations grégoriennes (Kyriale, Credos, Messe royale de Henri du Mont, Antiennes à la sainte Vierge) - Index alphabétiques (général et détaillés). Couverture en cuir marron, dorure sur les tranches, 4 signets de couleur. Le missel est orné de quelques illustrations (gravures sur bois du XIXe siècle). Coffret cartonné en cuir fourni avec le missel. Ce missel a été entièrement composé par les éditions Clovis dans une mise en page à la fois claire et élégante. Chaque temps liturgique est introduit par un exposé spirituel de l'abbé Daniel Joly (mais pas chaque dimanche). Le sanctoral contient, pour chaque saint, des notices biographiques. 2272 pages - 11 x 16 cm","out of stock",0,59.00,,,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk393egeaehnefa5d-zknixh4pkd7ih73o7cq-cover-large.jpg,"https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk39xdmpt30fv9nz_w7dscoynyptkxsqsys3q-cover-large.jpg,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk392iospvvfg662ejexleh5ph_dic5nktvwa-cover-large.jpg",,8787972,EUR,,
29332097,"Missel quotidien (Joly) — rouge",https://www.editions-sauvetage.fr/product/8787972/missel-quotidien-joly,"Missel traditionnel latin conforme aux rubriques du missel de 1962 - Textes latin et français en vis-à-vis - Ordinaire de la messe - Année liturgique complète (Temporal et Sanctoral) - Messes et oraisons votives, messes des Quatre-temps - Rites des sacrements - Prières et bénédictions diverses - Notations grégoriennes (Kyriale, Credos, Messe royale de Henri du Mont, Antiennes à la sainte Vierge) - Index alphabétiques (général et détaillés). Couverture en cuir marron, dorure sur les tranches, 4 signets de couleur. Le missel est orné de quelques illustrations (gravures sur bois du XIXe siècle). Coffret cartonné en cuir fourni avec le missel. Ce missel a été entièrement composé par les éditions Clovis dans une mise en page à la fois claire et élégante. Chaque temps liturgique est introduit par un exposé spirituel de l'abbé Daniel Joly (mais pas chaque dimanche). Le sanctoral contient, pour chaque saint, des notices biographiques. 2272 pages - 11 x 16 cm","in stock",,59.00,,6.50,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk393egeaehnefa5d-zknixh4pkd7ih73o7cq-cover-large.jpg,"https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk39xdmpt30fv9nz_w7dscoynyptkxsqsys3q-cover-large.jpg,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk392iospvvfg662ejexleh5ph_dic5nktvwa-cover-large.jpg",,8787972,EUR,,
32639157,"Missel quotidien (Joly) — marron",https://www.editions-sauvetage.fr/product/8787972/missel-quotidien-joly,"Missel traditionnel latin conforme aux rubriques du missel de 1962 - Textes latin et français en vis-à-vis - Ordinaire de la messe - Année liturgique complète (Temporal et Sanctoral) - Messes et oraisons votives, messes des Quatre-temps - Rites des sacrements - Prières et bénédictions diverses - Notations grégoriennes (Kyriale, Credos, Messe royale de Henri du Mont, Antiennes à la sainte Vierge) - Index alphabétiques (général et détaillés). Couverture en cuir marron, dorure sur les tranches, 4 signets de couleur. Le missel est orné de quelques illustrations (gravures sur bois du XIXe siècle). Coffret cartonné en cuir fourni avec le missel. Ce missel a été entièrement composé par les éditions Clovis dans une mise en page à la fois claire et élégante. Chaque temps liturgique est introduit par un exposé spirituel de l'abbé Daniel Joly (mais pas chaque dimanche). Le sanctoral contient, pour chaque saint, des notices biographiques. 2272 pages - 11 x 16 cm","in stock",,59.00,,6.50,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk393egeaehnefa5d-zknixh4pkd7ih73o7cq-cover-large.jpg,"https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk39xdmpt30fv9nz_w7dscoynyptkxsqsys3q-cover-large.jpg,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/66ye0fmop2w35kf_ewk392iospvvfg662ejexleh5ph_dic5nktvwa-cover-large.jpg",,8787972,EUR,,
29332131,"Missel Dom Lefebvre (adulte)",https://www.editions-sauvetage.fr/product/8787986/missel-dom-lefebvre-adulte,"Missel Dom Lefebvre. Imprimatur de 1965.
Dimensions 10x16cm épaisseur 4cm.
Produit neuf.","out of stock",0,65.00,,,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/capturedcran2023-03-28233642.png,,,8787986,EUR,,
29332133,"Missel Dom Lefebvre (enfant)",https://www.editions-sauvetage.fr/product/8787988/missel-dom-lefebvre-enfant,"Missel Dom Lefebvre pour enfants.
Missel comme celui des grands : épais, pages dorées avec petits rubans pour marquer les pages... Mais la messe est encore avec des images pour suivre plus facilement. La messe tout en latin ""comme les grands"" se trouve à la fin du missel.
Idéal comme cadeau de première communion pour faire la transition entre le missel des petits et le missel des adultes.
Dimensions 10x15cm épaisseur 3,5cm.
Produit neuf. Bleu ou vert selon arrivage. ","in stock",1,45.00,,6.50,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/capturedcran2023-03-28232945.png,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/capturedcran2023-03-28232904.png,,8787988,EUR,,
29332143,"Missel des enfants — bleu",https://www.editions-sauvetage.fr/product/8787995/missel-des-enfants,"Missel pour apprendre aux enfants à bien suivre la messe grâce :aux illustrations simples qui aident à se repérer facilement tout au long de la cérémonie. aux dessins où sont mis en lumière les gestes du prêtre et ceux de l'enfant de choeur. aux prières en caractères gras qui résument l'action ou les paroles du prêtre (pour les plus petits). aux prières récitées par le prêtre pendant la messe (pour les plus grands).  à l'examen de conscience pour bien se confesser.  à une page pour chaque partie spécifique de la messe. aux prières pour l'action de grâce et pour la visite au Très Saint-Sacrement. aux 117 cantiques classés par temps liturgique avec leur partition.","in stock",,13.50,,5.00,"Livres : > Bibles et Missels",,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/missel_vert_1013401238-1.jpg,https://primary.jwwb.nl/public/i/b/z/temp-cgwxrwwjdqjhnyryjwcx/bd6907370cc21ae8922a165e97490e3d-1.jpg,,8787995,EUR,,
